Const_Id,Name,State,
AP1,Araku,Andhra Pradesh,
AP2,Srikakulam,Andhra Pradesh,
AP3,Vizianagaram,Andhra Pradesh,
AP4,Visakhapatnam,Andhra Pradesh,
AP5,Anakapalli,Andhra Pradesh,
AP6,Kakinada,Andhra Pradesh,
AP7,Amalapuram,Andhra Pradesh,
AP8,Rajahmundry,Andhra Pradesh,
AP9,Narasapuram,Andhra Pradesh,
AP10,Eluru,Andhra Pradesh,
AP11,Machilipatnam,Andhra Pradesh,
AP12,Vijayawada,Andhra Pradesh,
AP13,Guntur,Andhra Pradesh,
AP14,Narasaraopet,Andhra Pradesh,
AP15,Bapatla,Andhra Pradesh,
AP16,Ongole,Andhra Pradesh,
AP17,Nandyal,Andhra Pradesh,
AP18,Kurnool,Andhra Pradesh,
AP19,Anantapur,Andhra Pradesh,
AP20,Hindupur,Andhra Pradesh,
AP21,Kadapa,Andhra Pradesh,
AP22,Nellore,Andhra Pradesh,
AP23,Tirupati,Andhra Pradesh,
AP24,Rajampet,Andhra Pradesh,
AP25,Chittoor,Andhra Pradesh,
AR1,Arunachal West,Arunachal Pradesh,
AR2,Arunachal East,Arunachal Pradesh,
AS1,Karimganj,Assam,
AS2,Silchar,Assam,
AS3,Autonomous District,Assam,
AS4,Dhubri,Assam,
AS5,Kokrajhar,Assam,
AS6,Barpeta,Assam,
AS7,Gauhati,Assam,
AS8,Mangaldoi,Assam,
AS9,Tezpur,Assam,
AS10,Nowgong,Assam,
AS11,Kaliabor,Assam,
AS12,Jorhat,Assam,
AS13,Dibrugarh,Assam,
AS14,Lakhimpur,Assam,
BR1,Valmiki Nagar,Bihar,
BR2,Paschim Champaran,Bihar,
BR3,Purvi Champaran,Bihar,
BR4,Sheohar,Bihar,
BR5,Sitamarhi,Bihar,
BR6,Madhubani,Bihar,
BR7,Jhanjharpur,Bihar,
BR8,Supaul,Bihar,
BR9,Araria,Bihar,
BR10,Kishanganj,Bihar,
BR11,Katihar,Bihar,
BR12,Purnia,Bihar,
BR13,Madhepura,Bihar,
BR14,Darbhanga,Bihar,
BR15,Muzaffarpur,Bihar,
BR16,Vaishali,Bihar,
BR17,Gopalganj,Bihar,
BR18,Siwan,Bihar,
BR19,Maharajganj,Bihar,
BR20,Saran,Bihar,
BR21,Hajipur,Bihar,
BR22,Ujiarpur,Bihar,
BR23,Samastipur,Bihar,
BR24,Begusarai,Bihar,
BR25,Khagaria,Bihar,
BR26,Bhagalpur,Bihar,
BR27,Banka,Bihar,
BR28,Munger,Bihar,
BR29,Nalanda,Bihar,
BR30,Patna Sahib,Bihar,
BR31,Pataliputra,Bihar,
BR32,Arrah,Bihar,
BR33,Buxar,Bihar,
BR34,Sasaram,Bihar,
BR35,Karakat,Bihar,
BR36,Jahanabad,Bihar,
BR37,Aurangabad,Bihar,
BR38,Gaya,Bihar,
BR39,Nawada,Bihar,
BR40,Jamui,Bihar,
CG1,Sarguja,Chhattisgarh,
CG2,Raigarh,Chhattisgarh,
CG3,Janjgir,Chhattisgarh,
CG4,Korba,Chhattisgarh,
CG5,Bilaspur,Chhattisgarh,
CG6,Rajnandgaon,Chhattisgarh,
CG7,Durg,Chhattisgarh,
CG8,Raipur,Chhattisgarh,
CG9,Mahasamund,Chhattisgarh,
CG10,Bastar,Chhattisgarh,
CG11,Kanker,Chhattisgarh,
GA1,North Goa,Goa,
GA2,South Goa,Goa,
GJ1,Kachchh,Gujarat,
GJ2,Banaskantha,Gujarat,
GJ3,Patan,Gujarat,
GJ4,Mahesana,Gujarat,
GJ5,Sabarkantha,Gujarat,
GJ6,Gandhinagar,Gujarat,
GJ7,Ahmedabad East,Gujarat,
GJ8,Ahmedabad West,Gujarat,
GJ9,Surendranagar,Gujarat,
GJ10,Rajkot,Gujarat,
GJ11,Porbandar,Gujarat,
GJ12,Jamnagar,Gujarat,
GJ13,Junagadh,Gujarat,
GJ14,Amreli,Gujarat,
GJ15,Bhavnagar,Gujarat,
GJ16,Anand,Gujarat,
GJ17,Kheda,Gujarat,
GJ18,Panchmahal,Gujarat,
GJ19,Dahod,Gujarat,
GJ20,Vadodara,Gujarat,
GJ21,Chhota Udaipur,Gujarat,
GJ22,Bharuch,Gujarat,
GJ23,Bardoli,Gujarat,
GJ24,Surat,Gujarat,
GJ25,Navsari,Gujarat,
GJ26,Valsad,Gujarat,
HR1,Ambala,Haryana,
HR2,Kurukshetra,Haryana,
HR3,Sirsa,Haryana,
HR4,Hissar,Haryana,
HR5,Karnal,Haryana,
HR6,Sonipat,Haryana,
HR7,Rohtak,Haryana,
HR8,Bhiwani–Mahendragarh,Haryana,
HR9,Gurgaon,Haryana,
HR10,Faridabad,Haryana,
HP1,Kangra,Himachal Pradesh,
HP2,Mandi,Himachal Pradesh,
HP3,Hamirpur,Himachal Pradesh,
HP4,Shimla,Himachal Pradesh,
JH1,Rajmahal,Jharkhand,
JH2,Dumka,Jharkhand,
JH3,Godda,Jharkhand,
JH4,Chatra,Jharkhand,
JH5,Kodarma,Jharkhand,
JH6,Giridih,Jharkhand,
JH7,Dhanbad,Jharkhand,
JH8,Ranchi,Jharkhand,
JH9,Jamshedpur,Jharkhand,
JH10,Singhbhum,Jharkhand,
JH11,Khunti,Jharkhand,
JH12,Lohardaga,Jharkhand,
JH13,Palamau,Jharkhand,
JH14,Hazaribagh,Jharkhand,
KA1,Chikkodi,Karnataka,
KA2,Belagavi,Karnataka,
KA3,Bagalkote,Karnataka,
KA4,Vijaypura,Karnataka,
KA5,Kalburgi,Karnataka,
KA6,Raichur,Karnataka,
KA7,Bidar,Karnataka,
KA8,Koppal,Karnataka,
KA9,Bellari,Karnataka,
KA10,Haveri,Karnataka,
KA11,Dharwad,Karnataka,
KA12,Uttara Kannada,Karnataka,
KA13,Davanagere,Karnataka,
KA14,Shivamogga,Karnataka,
KA15,Udupi Chikmagaluru,Karnataka,
KA16,Hassan,Karnataka,
KA17,Dakshina Kannada,Karnataka,
KA18,Chitradurga,Karnataka,
KA19,Tumakuru,Karnataka,
KA20,Mandya,Karnataka,
KA21,Mysuru,Karnataka,
KA22,Chamarajanagar,Karnataka,
KA23,Bengaluru Rural,Karnataka,
KA24,Bengaluru North,Karnataka,
KA25,Bengaluru Central,Karnataka,
KA26,Bengaluru South,Karnataka,
KA27,Chikballapur,Karnataka,
KA28,Kolar,Karnataka,
KL1,Kasaragod,Kerala,
KL2,Kannur,Kerala,
KL3,Vatakara,Kerala,
KL4,Wayanad,Kerala,
KL5,Kozhikode,Kerala,
KL6,Malappuram,Kerala,
KL7,Ponnani,Kerala,
KL8,Palakkad,Kerala,
KL9,Alathur,Kerala,
KL10,Thrissur,Kerala,
KL11,Chalakudy,Kerala,
KL12,Ernakulam,Kerala,
KL13,Idukki,Kerala,
KL14,Kottayam,Kerala,
KL15,Alappuzha,Kerala,
KL16,Mavelikara,Kerala,
KL17,Pathanamthitta,Kerala,
KL18,Kollam,Kerala,
KL19,Attingal,Kerala,
KL20,Thiruvananthapuram,Kerala,
MP1,Morena,Madhya Pradesh,
MP2,Bhind,Madhya Pradesh,
MP3,Gwalior,Madhya Pradesh,
MP4,Guna,Madhya Pradesh,
MP5,Sagar,Madhya Pradesh,
MP6,Tikamgarh,Madhya Pradesh,
MP7,Damoh,Madhya Pradesh,
MP8,Khajuraho,Madhya Pradesh,
MP9,Satna,Madhya Pradesh,
MP10,Rewa,Madhya Pradesh,
MP11,Sidhi,Madhya Pradesh,
MP12,Shahdol,Madhya Pradesh,
MP13,Jabalpur,Madhya Pradesh,
MP14,Mandla,Madhya Pradesh,
MP15,Balaghat,Madhya Pradesh,
MP16,Chhindwara,Madhya Pradesh,
MP17,Hoshangabad,Madhya Pradesh,
MP18,Vidisha,Madhya Pradesh,
MP19,Bhopal,Madhya Pradesh,
MP20,Rajgarh,Madhya Pradesh,
MP21,Dewas,Madhya Pradesh,
MP22,Ujjain,Madhya Pradesh,
MP23,Mandsaur,Madhya Pradesh,
MP24,Ratlam,Madhya Pradesh,
MP25,Dhar,Madhya Pradesh,
MP26,Indore,Madhya Pradesh,
MP27,Khargone,Madhya Pradesh,
MP28,Khandwa,Madhya Pradesh,
MP29,Betul,Madhya Pradesh,
MH1,Nandurbar,Maharashtra,
MH2,Dhule,Maharashtra,
MH3,Jalgaon,Maharashtra,
MH4,Raver,Maharashtra,
MH5,Buldhana,Maharashtra,
MH6,Akola,Maharashtra,
MH7,Amravati,Maharashtra,
MH8,Wardha,Maharashtra,
MH9,Ramtek,Maharashtra,
MH10,Nagpur,Maharashtra,
MH11,Bhandara–Gondiya,Maharashtra,
MH12,Gadchiroli–Chimur,Maharashtra,
MH13,Chandrapur,Maharashtra,
MH14,Yavatmal–Washim,Maharashtra,
MH15,Hingoli,Maharashtra,
MH16,Nanded,Maharashtra,
MH17,Parbhani,Maharashtra,
MH18,Jalna,Maharashtra,
MH19,Aurangabad,Maharashtra,
MH20,Dindori,Maharashtra,
MH21,Nashik,Maharashtra,
MH22,Palghar,Maharashtra,
MH23,Bhiwandi,Maharashtra,
MH24,Kalyan,Maharashtra,
MH25,Thane,Maharashtra,
MH26,Mumbai North,Maharashtra,
MH27,Mumbai North West,Maharashtra,
MH28,Mumbai North East,Maharashtra,
MH29,Mumbai North Central,Maharashtra,
MH30,Mumbai South Central,Maharashtra,
MH31,Mumbai South,Maharashtra,
MH32,Raigad,Maharashtra,
MH33,Maval,Maharashtra,
MH34,Pune,Maharashtra,
MH35,Baramati,Maharashtra,
MH36,Shirur,Maharashtra,
MH37,Ahmednagar,Maharashtra,
MH38,Shirdi,Maharashtra,
MH39,Beed,Maharashtra,
MH40,Osmanabad,Maharashtra,
MH41,Latur,Maharashtra,
MH42,Solapur,Maharashtra,
MH43,Madha,Maharashtra,
MH44,Sangli,Maharashtra,
MH45,Satara,Maharashtra,
MH46,Ratnagiri–Sindhudurg,Maharashtra,
MH47,Kolhapur,Maharashtra,
MH48,Hatkanangle,Maharashtra,
MN1,Inner Manipur,Manipur,
MN2,Outer Manipur,Manipur,
ML1,Shilong,Meghalaya,
ML2,Tura,Meghalaya,
MZ1,Mizoram,Mizoram,
NL1,Nagaland,Nagaland,
OR1,Bargarh,Odisha,
OR2,Sundargarh,Odisha,
OR3,Sambalpur,Odisha,
OR4,Keonjhar,Odisha,
OR5,Mayurbhanj,Odisha,
OR6,Balasore,Odisha,
OR7,Bhadrak,Odisha,
