candid_id,const_id,State,Constituency,Name,Party
CD0001,,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Vishal Jolly,BJP
CD0002,,Andhra Pradesh,Amalapuram,AyyajiVema Manepalli,BJP
CD0003,,Andhra Pradesh,Anakapalli,Dr. Gandi Venkata Satyanarayana,BJP
CD0004,,Andhra Pradesh,Anantapur,Hamsa Devineni,BJP
CD0005,,Andhra Pradesh,Araku,K V V Satyanarayan Reddy,BJP
CD0006,,Andhra Pradesh,Bapatla,Dr. Challagali Kishore Kumar,BJP
CD0007,,Andhra Pradesh,Chittoor,Jayaram Duggani,BJP
CD0008,,Andhra Pradesh,Eluru,Chinnam Ramkotaya,BJP
CD0009,,Andhra Pradesh,Guntur,Valluru Jayaprakash Narayana,BJP
CD0010,,Andhra Pradesh,Hindupur,Pogala Venkata Parthasarthi,BJP
CD0011,,Andhra Pradesh,Kadapa,Singa Reddy Ramchandra Reddy,BJP
CD0012,,Andhra Pradesh,Kakinada,Yalla Venkata Ramamohana Rao (Dorababu),BJP
CD0013,,Andhra Pradesh,Kurnool,Dr. P V Parthasarthi,BJP
CD0014,,Andhra Pradesh,Machilipatnam,Gudivaka Ramanjaneyulu,BJP
CD0015,,Andhra Pradesh,Nandyal,Dr. AdinarayanaInti,BJP
CD0016,,Andhra Pradesh,Narasaraopet,Shri Kanna Lakshminarayana,BJP
CD0017,,Andhra Pradesh,Narsapuram,Paidikonda Manikyalarao,BJP
CD0018,,Andhra Pradesh,Nellore,Suresh Reddy Sannapareddy,BJP
CD0019,,Andhra Pradesh,Ongole,Thogunta Srinivas,BJP
CD0020,,Andhra Pradesh,Rajahmundry,Satya Gopinath dasparavasthu,BJP
CD0021,,Andhra Pradesh,Rajampet,Pappireddi Maheswara Reddy,BJP
CD0022,,Andhra Pradesh,Srikakulam,Perla Sambamurti,BJP
CD0023,,Andhra Pradesh,Tirupati,Bommi Sri Hari Rao,BJP
CD0024,,Andhra Pradesh,Vijayawada,Dilip Kumar Kilaru,BJP
CD0025,,Andhra Pradesh,Visakhapatnam,Shri D Purandeshwari,BJP
CD0026,,Andhra Pradesh,Vizianagaram,P Sanyasi Raju,BJP
CD0027,,Arunachal Pradesh,Arunachal East,Shri Tapir Gao,BJP
CD0028,,Arunachal Pradesh,Arunachal West,Shri Kiren Rijiju,BJP
CD0029,,Assam,Dibrugarh,Shri Rameswar Teli,BJP
CD0030,,Assam,Jorhat,Shri Tapan Gogai,BJP
CD0031,,Assam,Lakhimpur,Shri Pradan Baruah,BJP
CD0032,,Assam,Tezpur,Sjt. Pallab Lochan Das,BJP
CD0033,,Assam,Autonomous District,Shri Horensingh Bey,BJP
CD0034,,Assam,Karimganj,Shri Kripanath Mallah,BJP
CD0035,,Assam,Mangaldoi,Shri Dilip Saikia,BJP
CD0036,,Assam,Nowgong,Shri Rupak Sharma,BJP
CD0037,,Assam,Silchar,Dr Rajdeep Roy Bengali,BJP
CD0038,,Bihar,Araria,Pradeep Singh (BJP),BJP
